claim_id,x,y,cluster_id,macro_theme,color,dataset,model,variant,seed,text,customer_id,label,distance
claim_000_000,0.07094544878894121,0.04214531768323687,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 0 in cluster 0,0,0,0.11431841120668768
claim_000_001,-0.7015993219237834,0.5239340787005702,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 1 in cluster 0,1,1,0.44899365641533945
claim_000_002,1.5734244864578142,0.38341111753041335,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 2 in cluster 0,2,0,0.2553929159168001
claim_000_003,1.2892793223123493,0.14410282466379717,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 3 in cluster 0,3,1,0.08058774326095555
claim_000_004,0.6096061204488863,0.5959156903131866,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 4 in cluster 0,4,0,0.25515162730228164
claim_000_005,0.05159744898673735,-0.12187403628784749,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 5 in cluster 0,5,1,0.3667158930911209
claim_000_006,0.43512564335357967,-0.8242914602943983,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 6 in cluster 0,6,0,0.16124649233191204
claim_000_007,-0.6456063288749198,-0.7388754879143298,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 7 in cluster 0,7,1,0.445979529918629
claim_000_008,0.8612994089984138,0.8896977634431849,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 8 in cluster 0,8,0,0.2964137872730314
claim_000_009,0.33553868395344627,0.20841112565934172,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 9 in cluster 0,9,1,0.12559183724661796
claim_000_010,0.5959321002841409,-0.34341550227399203,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 10 in cluster 0,10,0,0.29397996669453086
claim_000_011,0.766549895738732,-0.8875028042059885,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 11 in cluster 0,11,1,0.40893211161605997
claim_000_012,0.6402349264746402,0.37108690996895105,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 12 in cluster 0,12,0,0.07711360264218424
claim_000_013,-0.1797876185914491,-0.263935803155375,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 13 in cluster 0,13,1,0.24787679674807586
claim_000_014,0.08212169680737641,-0.185567890181432,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 14 in cluster 0,14,0,0.3786740991488179
claim_000_015,0.11824455253941163,-0.24205319005807324,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 15 in cluster 0,15,1,0.22699768085810945
claim_000_016,0.6598670107766489,0.5711769673003956,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 16 in cluster 0,16,0,0.037645756189850506
claim_000_017,-0.3118538001864892,0.08392391700093071,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 17 in cluster 0,17,1,0.1319437317777179
claim_000_018,-0.2642083720342536,-0.06927795597110159,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 18 in cluster 0,18,0,0.3796742686596568
claim_000_019,0.677694591765095,0.17038328684377574,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 19 in cluster 0,19,1,0.2338944061802351
claim_000_020,0.11099067481359803,-0.2544454497452318,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 20 in cluster 0,20,0,0.2035292591106803
claim_000_021,-0.0638341164340922,0.651132552035841,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 21 in cluster 0,21,1,0.31469492589427206
claim_000_022,2.1476012095879895,-0.5946340794725534,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 22 in cluster 0,22,0,0.1099300101807394
claim_000_023,0.057241539968311106,0.08681400884566079,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 23 in cluster 0,23,1,0.005000537108288627
claim_000_024,0.1919087609607084,1.0712974172838732,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 24 in cluster 0,24,0,0.004653165162609646
claim_000_025,-0.17595933189452106,0.4069278399980147,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 25 in cluster 0,25,1,0.04026761431782397
claim_000_026,-0.08048444432450008,0.36032998828802987,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 26 in cluster 0,26,0,0.11720431247690455
claim_000_027,1.00181583990038,0.43449460881219215,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 27 in cluster 0,27,1,0.28140683976577396
claim_000_028,0.3260756493378508,0.5177290375800437,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 28 in cluster 0,28,0,0.0708804106585881
claim_000_029,-0.26847132847012833,-0.0934725423199719,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 29 in cluster 0,29,1,0.1882466469540042
claim_000_030,0.4064462484991889,1.094775177766814,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 30 in cluster 0,30,0,0.0702577496518275
claim_000_031,0.8131663927372618,0.8306125190934562,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 31 in cluster 0,31,1,0.2486648105137138
claim_000_032,0.7881638915753624,0.6805151679892172,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 32 in cluster 0,32,0,0.06026990271420384
claim_000_033,0.6529215362405739,0.42464269906516633,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 33 in cluster 0,33,1,0.3652744606495967
claim_000_034,0.17643458765406028,-0.3543016402073634,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 34 in cluster 0,34,0,0.2335136455052211
claim_000_035,1.3195378451149518,0.040277893138949236,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 35 in cluster 0,35,1,0.20196094491114813
claim_000_036,0.7775605167691167,0.005635758042396077,clu_000,Everyday spending,#58b368,gender,qwen,demo,17,Synthetic claim 36 in cluster 0,36,0,0.164345037207638
claim_001_000,4.05078926315993,0.3364995462335836,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 0 in cluster 1,1000,0,0.17328484927610202
claim_001_001,3.5396784730205257,-0.02076531663437621,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 1 in cluster 1,1001,1,0.39492994237183526
claim_001_002,4.199172408488767,-0.6776362000438203,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 2 in cluster 1,1002,0,0.3748222983183306
claim_001_003,3.908688522003521,0.5539288291523982,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 3 in cluster 1,1003,1,0.4283284624925101
claim_001_004,4.328929100624446,-0.12959948305125538,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 4 in cluster 1,1004,0,0.2884377130809123
claim_001_005,5.764945083502736,-0.32005893434320265,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 5 in cluster 1,1005,1,0.16429686276340352
claim_001_006,4.653968851275844,-0.4026812237060563,clu_001,Mobility,#f39c35,age,gpt_oss,demo,101,Synthetic claim 6 in cluster 1,1006,0,0.0948369337776969
