cluster_id,macro_theme,color,medoid,occurrences,unique_clients,compactness,prevalence,lift,cross_model_match,match_cosine,tree_nodes,importance
clu_000,Everyday spending,#58b368,Representative behavioural claim 0,74,37,0.1346583865827824,0.0629883927123537,0.048812882696236626,gpt_clu_000,0.7655759296918269,[8],0.07336117301987766
clu_001,Mobility,#f39c35,Representative behavioural claim 1,38,19,0.21147442400617772,0.17047639893649458,0.08583382621662583,gpt_clu_001,0.6787261686632678,[13],0.0011606443022843039
clu_002,Digital services,#4f86c6,Representative behavioural claim 2,44,22,0.2341638880920744,0.09702064670526732,1.12466833413384,gpt_clu_002,0.9480326471095263,[9],0.03221701281015937
clu_003,Cashflow,#af7ac5,Representative behavioural claim 3,90,45,0.1350756379676936,0.2116365920866334,0.504962554939069,gpt_clu_003,0.7691124977659285,[10],0.07601791241548161
clu_004,Everyday spending,#58b368,Representative behavioural claim 4,98,49,0.18029149049468807,0.027500278518032013,0.47486775548345506,gpt_clu_004,0.6710593322749712,[12],0.02262190136878118
clu_005,Mobility,#f39c35,Representative behavioural claim 5,42,21,0.13152697939794092,0.10346103977086017,0.032688317347534857,gpt_clu_005,0.8935858551190559,[8],0.035097011458867365
clu_006,Digital services,#4f86c6,Representative behavioural claim 6,62,31,0.06026995479448755,0.09137057687152633,-0.4088986080025954,gpt_clu_006,0.7861229595568142,[12],0.07030441709267342
clu_007,Cashflow,#af7ac5,Representative behavioural claim 7,92,46,0.12939509026290497,0.08270848287806411,-0.5612220189356418,gpt_clu_007,0.6636435714975062,[2],0.11863263717463353
clu_008,Everyday spending,#58b368,Representative behavioural claim 8,56,28,0.16497132915645019,0.10771595787896109,-0.4042793070854364,gpt_clu_008,0.6672699255598348,[7],0.08425937668475363
clu_009,Mobility,#f39c35,Representative behavioural claim 9,92,46,0.22752480616794685,0.11593584620499676,0.7788200750002796,gpt_clu_009,0.902135890323734,[9],0.04457170243740979
clu_010,Digital services,#4f86c6,Representative behavioural claim 10,86,43,0.11732990558870075,0.05083885682786261,0.5679779589860794,gpt_clu_010,0.8637589857454906,[13],0.11475420538379603
clu_011,Cashflow,#af7ac5,Representative behavioural claim 11,56,28,0.13492887031492445,0.14589495493190902,0.5032621076956036,gpt_clu_011,0.7768397574103343,[14],0.06014450625695462
clu_012,Everyday spending,#58b368,Representative behavioural claim 12,72,36,0.2188455022555033,0.02811866487130768,-0.11584567105660115,gpt_clu_012,0.6357691067282555,[6],0.10152947431407129
clu_013,Mobility,#f39c35,Representative behavioural claim 13,112,56,0.20321239826321785,0.12041311060550494,0.5376885435293113,gpt_clu_013,0.6277445971829262,[7],0.10473678605202356
clu_014,Digital services,#4f86c6,Representative behavioural claim 14,116,58,0.12279629046679216,0.06933395756442046,-0.4356101108417945,gpt_clu_014,0.6339607219339416,[14],0.07207713598327105
clu_015,Cashflow,#af7ac5,Representative behavioural claim 15,116,58,0.26520611598041255,0.07221971489623814,0.0933898529078262,gpt_clu_015,0.8705948612057233,[6],0.05222585219764943
clu_016,Everyday spending,#58b368,Representative behavioural claim 16,70,35,0.09831648666039786,0.11193130249760087,-0.12829791792311285,gpt_clu_016,0.655653871813181,[10],0.005007273245221597
clu_017,Mobility,#f39c35,Representative behavioural claim 17,68,34,0.23023436902583988,0.04392875229276923,-0.533718736162925,gpt_clu_017,0.6719651152695504,[2],7.022845563449565e-05
clu_018,Digital services,#4f86c6,Representative behavioural claim 18,62,31,0.16708905475550756,0.1222428659933764,1.1865830458634157,gpt_clu_018,0.7661996156898317,[12],0.03228157153997701
clu_019,Cashflow,#af7ac5,Representative behavioural claim 19,58,29,0.058463721393629285,0.12042804732906366,0.9581045928627525,gpt_clu_019,0.9077630393952367,[7],0.11274474092780845
unassigned,Unassigned,#b8bcc5,Semantic outliers / unassigned claims,30,26,1.0,0.01,0.0,none,0.0,[],0.0
