dataset,model,experiment,balanced_accuracy,sd,article_delta
gender,qwen,standard,0.8169851174167269,0.006911883238378335,-0.014780390877606474
gender,qwen,handcrafted,0.8191792265095313,0.017589380731306684,-0.02342164264666298
gender,qwen,cot,0.7129804845327656,0.012739248866327284,-0.011806543547165683
gender,qwen,concat,0.7754305043939834,0.010773747376302394,0.008296262291739076
gender,gpt_oss,standard,0.7861733846065769,0.005702748169218223,-0.006861257014677758
gender,gpt_oss,handcrafted,0.7487390866733266,0.0027406704372977763,-0.013547599676753626
gender,gpt_oss,cot,0.6438629823633005,0.01530441780372095,0.020268378467479746
gender,gpt_oss,concat,0.7997073833494989,0.0022610171004326246,0.003703703564833148
age,qwen,standard,0.6828389959398036,0.002759242346631336,0.010289336495882359
age,qwen,handcrafted,0.8237959222422647,0.0025651532204259073,-0.007906466699813573
age,qwen,cot,0.7781148941032083,0.014004432403225943,0.040912883225441926
age,qwen,concat,0.7102496877365188,0.012538130335739686,-0.007993084343742865
age,gpt_oss,standard,0.6996941991293912,0.013345257805864087,0.04715889274600611
age,gpt_oss,handcrafted,0.6870204752597585,0.007513323318585858,0.009316478503969501
age,gpt_oss,cot,0.830092722610429,0.012167926478109064,-0.022162912870928683
age,gpt_oss,concat,0.6810990464031317,0.007581003241728596,0.027213937081335605
rosbank,qwen,standard,0.8362612333299055,0.00867833382618572,0.040324136755364046
rosbank,qwen,handcrafted,0.651875542594179,0.014775411674018298,-0.02866004507022312
rosbank,qwen,cot,0.6681170460851691,0.004375272962154729,-0.004118267603206556
rosbank,qwen,concat,0.727838477655024,0.003094040423516637,0.011772385278001202
rosbank,gpt_oss,standard,0.7421561060731829,0.012836405194053184,0.004184667192941395
rosbank,gpt_oss,handcrafted,0.7895978784027942,0.004232436122550313,0.00980020366169148
rosbank,gpt_oss,cot,0.7301967887311134,0.010505374020752318,0.01657061363480891
rosbank,gpt_oss,concat,0.6314996907131354,0.011168646037618078,-0.014043096028186833
